"","zip_code","CountyFIPSCode","count","experience","spec_count","polulation","unemployment_rate","STATE","total_income","averge_income","contract_id","tier_label","mnthly_prm","ann_ddctbl","copay_max","coin_max","Summary_Score","Star_Rating_Current"
"36644",77713,48245,214,20.6452830188679,42,9439,4.28,"TX",416887,44.1664371225765,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36683",77873,48339,326,20.2358674463938,47,999,6.2,"TX",31699,31.7307307307307,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36684",77873,48339,326,20.2358674463938,47,999,6.2,"TX",31699,31.7307307307307,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36685",77873,48471,35,21.8307692307692,17,999,6.2,"TX",31699,31.7307307307307,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36686",77873,48471,35,21.8307692307692,17,999,6.2,"TX",31699,31.7307307307307,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36687",77873,48185,9,8.95,8,999,6.2,"TX",31699,31.7307307307307,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36688",77873,48185,9,8.95,8,999,6.2,"TX",31699,31.7307307307307,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36719",78002,48029,973,22.2763993075591,59,6691,5.61,"TX",108703,16.246151546854,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36720",78002,48029,973,22.2763993075591,59,6691,5.61,"TX",108703,16.246151546854,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36721",78002,48013,33,16.2884615384615,13,6691,5.61,"TX",108703,16.246151546854,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36722",78002,48013,33,16.2884615384615,13,6691,5.61,"TX",108703,16.246151546854,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36723",78003,48019,19,20.4864864864865,8,7298,5.29,"TX",230784,31.6229103864072,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36724",78003,48325,34,19.4918032786885,13,7298,5.29,"TX",230784,31.6229103864072,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36726",78006,48029,973,22.2763993075591,59,19247,3.24,"TX",1803836,93.7203720060269,"H1264",5,0,160,90,33,"Overall Star Rating",3
