"","zipcode","num of physicians","avg graduation year","avg group member"
"721","04756",2,1988,1
"722","04765",10,2004,10
"723","04769",304,1994,0
"724","04774",2,2010,1
"725","04776",2,1992,0
"726","04785",3,1989,0
"727","04786",1,1977,0
"728","04840",2,1989,0
"729","04841",64,1996,0
"730","04843",16,1990,0
"731","04848",1,1966,0
"732","04849",2,1999,2
"733","04853",3,1994,3
"734","04861",2,1991,0
"735","04862",3,1984,0
"736","04863",3,2001,3
"737","04910",8,1994,27
"738","04915",166,1990,0
"739","04917",3,1997,27
"740","04918",1,1994,1
"741","04920",11,1994,14.9
"742","04930",11,1993,0
"743","04937",1,2002,0
"744","04943",2,1976,0
"745","04947",7,1990,0
"746","04950",6,1989,22.7
"747","04953",27,1997,8.3
"748","04957",1,1978,0
"749","04963",12,1993,0
"750","04966",1,2000,0
"751","04967",137,1997,62.1
"752","04970",7,1994,0
"753","04974",4,1978,0
"754","04976",46,1989,0
"755","04978",5,1997,1.8
"756","04981",2,2003,0
"757","04983",3,1992,27
"758","04988",2,2009,0
"759","05001",47,1996,0
"760","05032",21,1995,0
"761","05033",25,1993,0
"762","05038",2,1982,24
"763","05043",1,1993,0
"764","05047",2,1985,0
"765","05051",4,2000,0
"766","05055",9,1986,0
"767","05059",1,1976,1
"768","05060",95,1993,0
"769","05068",2,1991,0
"770","05074",2,1986,0
"771","05081",3,2000,0
"772","05088",11,1999,45.5
"773","05091",18,1990,0
"774","05101",40,1992,0
"775","05143",4,1996,0
"776","05146",3,1993,0
"777","05148",9,1984,0
"778","05149",2,1977,2
"779","05150",1,1981,1
"780","05153",2,1995,0
"781","05154",1,2008,0
"782","05156",73,1990,0
"783","05158",10,1997,10
"784","05250",4,1985,0
"785","05251",1,1961,0
"786","05253",12,1995,91
"787","05254",4,1993,1.5
"788","05255",26,1992,0
"789","05257",2,1987,2
"790","05262",3,1997,3
"791","05301",171,1991,0
"792","05302",14,1988,20
"793","05303",1,1985,0
"794","05304",1,1987,0
"795","05345",4,1991,0
"796","05346",2,1984,0
"797","05356",2,2004,0
"798","05362",1,2004,0
"799","05363",5,1991,0
"800","05404",15,1995,0
"801","05405",1,1991,0
"802","05408",27,2000,9.8
"803","05443",27,1992,0
"804","05444",15,1993,0
"805","05445",3,1995,1.7
"806","05446",50,1992,0
"807","05450",3,1992,0
"808","05452",53,1994,0
"809","05454",13,1998,3.8
"810","05461",7,2000,0
"811","05463",1,1988,0
"812","05464",8,2004,4
"813","05465",5,1999,2.2
"814","05468",31,2004,0
"815","05472",1,1969,0
"816","05477",19,2006,0
"817","05486",1,1984,1
"818","05488",8,1992,0
"819","05489",1,1970,1
"820","05491",9,1995,29.9
"821","05619",1,2015,40
"822","05651",1,1986,0
"823","05655",5,1999,0
"824","05656",5,1995,0
"825","05663",4,2011,105
"826","05667",6,1984,4.8
"827","05672",39,1994,0
"828","05673",7,2005,0
"829","05676",13,1996,0
"830","05677",1,1996,0
"831","05679",2,1991,0
"832","05730",1,1970,1
"833","05732",12,2000,22
"834","05733",26,1994,24.8
"835","05735",5,2002,0
"836","05736",2,1995,1
"837","05743",6,2003,0
"838","05751",1,2014,13
"839","05761",2,1977,0
"840","05763",1,1983,0
"841","05764",1,1992,0
"842","05765",1,1981,0
"843","05767",2,1978,24
"844","05770",7,2003,22
"845","05773",1,2000,1
"846","05774",1,2001,1
"847","05775",1,1987,22
"848","05822",1,1991,0
"849","05824",2,2000,7.5
"850","05827",1,2002,1
"851","05828",14,2000,11.6
"852","05829",4,1988,0
"853","05836",3,1998,3
"854","05843",4,1989,0
"855","05846",2,2006,8.5
"856","05851",8,2001,0
"857","05855",84,1994,0
"858","05875",1,1967,0
"859","05903",3,1994,3
"860","06006",3,2001,3
"861","06013",3,1991,1.7
"862","06018",8,1987,0
"863","06019",11,1991,0
"864","06024",1,1989,0
"865","06026",9,1988,0
"866","06029",20,1996,0
"867","06039",6,1994,0
"868","06043",3,1983,1
"869","06050",358,1997,144.7
"870","06057",2,1982,0
"871","06060",1,1981,0
"872","06062",26,1995,0
"873","06068",1,1991,0
"874","06070",23,1988,0
"875","06071",6,1991,0
"876","06074",79,1996,0
"877","06076",47,1997,0
"878","06078",17,1997,0
"879","06081",3,1995,0
"880","06084",17,1999,12
"881","06085",16,2006,4
"882","06088",7,1992,0
"883","06095",39,1989,0
"884","06096",5,1985,0
"885","06103",4,1982,1.5
"886","06107",120,1988,0
"887","06108",44,1992,0
"888","06110",14,1991,0
"889","06114",3,1995,0
"890","06118",32,1995,0
"891","06119",44,1991,0
"892","06120",49,2001,13.1
"893","06141",52,1985,26
"894","06226",86,1992,0
"895","06230",1,1984,1
"896","06231",3,1996,3
"897","06234",19,2004,0
"898","06235",2,1994,0
"899","06237",11,2005,0
"900","06238",74,2009,0
"901","06239",29,1997,0
"902","06241",40,1998,0
"903","06247",3,1988,1.7
"904","06248",3,2000,0
"905","06250",38,1990,0
"906","06254",20,1998,0
"907","06255",2,1976,2
"908","06256",4,1986,0
"909","06259",1,1986,1
"910","06260",155,1992,0
"911","06269",2,1987,342
"912","06278",2,1980,0
"913","06279",3,2004,0
"914","06281",7,1984,0
"915","06331",2,1976,0
"916","06332",1,1992,1
"917","06333",30,1990,0
"918","06334",1,1998,1
"919","06335",6,1986,3
"920","06339",1,1974,0
"921","06351",12,1997,0
"922","06355",48,1993,0
"923","06357",16,1996,0
"924","06359",6,1998,2
"925","06365",1,1996,1
"926","06374",27,1993,0
"927","06378",9,1985,0
"928","06379",6,1990,0
"929","06382",20,1990,5.4
"930","06384",2,1984,0
"931","06390",1,1991,1
"932","06401",65,1999,0
"933","06403",2,1989,2
"934","06409",8,1984,0
"935","06410",101,1995,0
"936","06412",6,1988,46
"937","06413",16,1989,0
"938","06415",34,2000,0
"939","06416",25,2002,0
"940","06417",4,1980,5
"941","06418",320,1997,0
"942","06419",4,1995,0
"943","06420",4,2008,2
"944","06422",11,1998,0
"945","06424",15,2010,79.3
"946","06430",5,1988,1.8
"947","06437",130,1994,0
"948","06438",1,1986,0
"949","06441",1,2003,1
"950","06443",41,1989,0
"951","06447",14,1990,0
"952","06450",89,1987,0
"953","06451",168,1994,0
"954","06455",1,1998,1
"955","06461",12,1984,0
"956","06467",3,1996,0
"957","06468",42,1995,0
"958","06470",49,1993,0
"959","06471",5,1989,1
"960","06472",1,1972,0
"961","06473",96,1996,0
"962","06475",158,1996,0
"963","06478",11,1991,9.2
"964","06479",23,1995,0
"965","06480",11,1994,0
"966","06482",9,2002,0
"967","06483",5,1985,0
"968","06498",39,1998,0
"969","06504",112,1998,58
"970","06510",375,1996,0
"971","06512",23,1993,0
"972","06513",11,1994,0
"973","06514",35,1998,0
"974","06515",19,1993,0
"975","06516",61,1995,0
"976","06517",27,1994,0
"977","06604",58,1994,0
"978","06605",14,1992,0
"979","06611",159,1992,0
"980","06612",1,1993,0
"981","06652",1,1981,0
"982","06702",102,1996,185.2
"983","06704",22,1997,0
"984","06705",25,1991,0
"985","06710",17,1997,15.1
"986","06716",31,1996,0
"987","06750",4,1999,46
"988","06757",5,1982,0
"989","06759",20,1988,0
"990","06770",49,1996,0
"991","06777",4,1992,0
"992","06779",1,2005,3
"993","06782",1,1990,1
"994","06783",1,1986,0
"995","06784",4,1979,0
"996","06786",3,1994,0
"997","06787",3,1990,33.3
"998","06793",1,1983,0
"999","06794",1,1979,0
"1000","06795",42,1997,0
"1001","06796",1,1978,0
"1002","06798",23,1982,0
"1003","06801",91,1998,0
"1004","06807",44,2000,0
"1005","06811",28,1990,0
"1006","06812",6,1989,0
"1007","06817",2,1988,0
"1008","06831",58,1992,0
"1009","06854",3,2004,0
"1010","06855",3,1996,5
"1011","06870",40,1992,0
"1012","06878",20,2006,0
"1013","06883",1,2013,1
"1014","06890",19,1996,4.3
"1015","06896",3,1980,0
"1016","06901",92,1997,0
"1017","06903",12,1987,0
"1018","06906",7,1982,0
"1019","06907",6,2000,0
"1020","07001",43,1986,0
"1021","07003",268,1991,0
"1022","07004",35,1989,0
"1023","07007",2,1983,0
"1024","07008",15,1991,0
"1025","07012",112,1996,0
"1026","07014",2,1994,0
"1027","07017",42,1996,0
"1028","07019",1,1975,1
"1029","07021",2,1976,1
"1030","07022",11,1994,5
"1031","07024",181,1993,0
"1032","07026",22,1986,0
"1033","07027",29,1996,0
"1034","07029",11,1987,0
"1035","07030",151,1993,0
"1036","07031",33,1989,0
"1037","07032",72,1995,0
"1038","07034",4,1978,0
"1039","07048",2,1985,0
"1040","07057",10,1982,0
"1041","07058",5,1987,0
"1042","07061",5,1991,0
"1043","07062",4,1984,0
"1044","07067",18,1985,0
"1045","07068",24,1987,0
"1046","07070",98,1992,0
"1047","07071",99,1994,0
"1048","07072",4,1993,0
"1049","07073",10,1989,0
"1050","07075",3,1986,1
"1051","07078",32,1987,0
"1052","07082",1,1988,0
"1053","07086",3,1983,0
"1054","07093",102,1987,0
"1055","07104",46,1997,0
"1056","07106",7,1983,0
"1057","07108",2,1996,1
