"","ZIPCODE","total_income"
"688",85143,595420
"689",85145,36205
"690",85172,29729
"691",85173,39204
"692",85192,23032
"693",85193,42311
"694",85194,133754
"695",85201,668078
"696",85202,748049
"697",85203,698920
"698",85204,918964
"699",85205,941264
"700",85206,714649
"701",85207,1407511
"702",85208,570380
"703",85209,885711
"704",85210,553750
"705",85212,719130
"706",85213,929041
"707",85215,525333
"708",85224,1260431
"709",85225,1475963
"710",85226,1419778
"711",85233,1155359
"712",85234,1538734
"713",85248,1506805
"714",85249,1781359
"715",85250,703333
"716",85251,1358898
"717",85253,3182950
"718",85254,2162251
"719",85255,3604050
"720",85256,78529
"721",85257,669679
"722",85258,1429448
"723",85259,1615229
"724",85260,2041101
"725",85262,1186848
"726",85263,116858
"727",85264,39211
"728",85266,838092
"729",85268,1027706
"730",85281,883103
"731",85282,1103520
"732",85283,1130206
"733",85284,1213976
"734",85286,1436008
"735",85295,1286280
"736",85296,1363331
"737",85297,1000581
"738",85298,1048902
"739",85301,600700
"740",85302,644414
"741",85303,465003
"742",85304,621327
"743",85305,268845
"744",85306,508472
"745",85307,161164
"746",85308,1892121
"747",85309,8604
"748",85310,714875
"749",85321,49500
"750",85322,10108
"751",85323,567088
"752",85324,42977
"753",85326,869756
"754",85331,1241398
"755",85333,6163
"756",85335,460122
"757",85337,34891
"758",85338,1107146
"759",85339,805648
"760",85340,900747
"761",85342,25300
"762",85344,152461
"763",85345,970981
"764",85347,14984
"765",85348,18877
"766",85350,219369
"767",85351,559176
"768",85353,560639
"769",85354,92433
"770",85355,310381
"771",85356,52511
"772",85361,109956
"773",85363,86116
"774",85364,1176616
"775",85365,875018
"776",85367,336875
"777",85373,421054
"778",85374,935160
"779",85375,780945
"780",85379,900433
"781",85381,710457
"782",85382,1128730
"783",85383,1773248
"784",85387,284834
"785",85388,560577
"786",85390,130581
"787",85392,796317
"788",85395,923248
"789",85396,462777
"790",85501,153936
"791",85533,50756
"792",85534,43272
"793",85539,45187
"794",85540,99598
"795",85541,421440
"796",85542,22738
"797",85543,59563
"798",85544,58243
"799",85545,7409
"800",85546,289878
"801",85552,135872
"802",85602,176768
"803",85603,114062
"804",85606,14752
"805",85607,184271
"806",85610,17797
"807",85611,18642
"808",85613,53520
"809",85614,590607
"810",85615,241568
"811",85616,90002
"812",85617,15988
"813",85618,23684
"814",85621,264497
"815",85622,224957
"816",85623,103328
"817",85624,29047
"818",85625,31973
"819",85629,617132
"820",85630,44244
"821",85631,49876
"822",85632,10194
"823",85634,72708
"824",85635,742349
"825",85637,49331
"826",85638,33131
"827",85640,14824
"828",85641,725759
"829",85643,106528
"830",85645,31985
"831",85648,316447
"832",85650,433176
"833",85653,257051
"834",85658,466274
"835",85701,112793
"836",85704,983983
"837",85705,573801
"838",85706,553760
"839",85708,48718
"840",85710,1048470
"841",85711,687650
"842",85712,586909
"843",85713,529075
"844",85714,147441
"845",85715,622551
"846",85716,626943
"847",85718,1810138
"848",85719,563631
"849",85730,715711
"850",85735,173804
"851",85736,51019
"852",85737,894566
"853",85739,585038
"854",85741,708221
"855",85742,740070
"856",85743,797795
"857",85745,882323
"858",85746,591182
"859",85747,658299
"860",85748,623637
"861",85749,888916
"862",85750,1366783
"863",85755,695829
"864",85756,444311
"865",85757,283705
"866",85901,245532
"867",85920,11401
"868",85924,26651
"869",85925,72822
"870",85928,20554
"871",85929,152337
"872",85935,114406
"873",85936,59875
"874",85937,121213
"875",85938,49076
"876",86001,690546
"877",86004,889763
"878",86005,408816
"879",86022,24104
"880",86024,15868
"881",86025,78670
"882",86036,3766
"883",86044,35706
"884",86046,104158
"885",86047,181060
"886",86301,574826
"887",86303,501476
"888",86305,660024
"889",86314,566675
"890",86315,183264
"891",86321,57620
"892",86322,198342
"893",86323,311577
"894",86324,85889
"895",86325,127377
"896",86326,414586
"897",86327,200263
"898",86332,24405
"899",86333,68461
"900",86334,62280
"901",86335,61618
"902",86336,414321
"903",86351,226561
"904",86401,458925
"905",86403,277550
"906",86404,309727
"907",86406,500567
"908",86409,343762
"909",86413,110779
"910",86426,219107
"911",86429,135771
"912",86434,20774
"913",86436,21883
"914",86440,94998
"915",86441,16478
"916",86442,411932
"917",86444,13205
