"","Contract_ID","Summary_Score","Star_Rating_Current"
"429","H1264","Overall Star Rating","3"
"435","H1286","Overall Star Rating","3.5"
"441","H1291","Overall Star Rating","0"
"447","H1302","Overall Star Rating","3.5"
"453","H1304","Overall Star Rating","4"
"459","H1350","Overall Star Rating","4"
"465","H1352","Overall Star Rating","0"
"471","H1365","Overall Star Rating","4.5"
"477","H1394","Overall Star Rating","0"
"483","H1406","Overall Star Rating","4"
"489","H1415","Overall Star Rating","3"
"495","H1416","Overall Star Rating","3"
"501","H1417","Overall Star Rating","4"
"507","H1418","Overall Star Rating","3.5"
"513","H1463","Overall Star Rating","4.5"
"519","H1468","Overall Star Rating","4.5"
"525","H1493","Overall Star Rating","0"
"531","H1510","Overall Star Rating","4"
"537","H1517","Overall Star Rating","3.5"
"543","H1537","Overall Star Rating","4.5"
"549","H1587","Overall Star Rating","0"
"555","H1607","Overall Star Rating","3.5"
"561","H1608","Overall Star Rating","4.5"
"567","H1609","Overall Star Rating","4.5"
"575","H1659","Overall Star Rating","3"
"581","H1660","Overall Star Rating","0"
"587","H1666","Overall Star Rating","3"
"593","H1692","Overall Star Rating","3.5"
"599","H1716","Overall Star Rating","3.5"
"605","H1723","Overall Star Rating","0"
"611","H1737","Overall Star Rating","0"
"617","H1777","Overall Star Rating","4"
"623","H1846","Overall Star Rating","4"
"629","H1849","Overall Star Rating","3.5"
"635","H1894","Overall Star Rating","0"
"641","H1903","Overall Star Rating","2.5"
"647","H1916","Overall Star Rating","0"
"653","H1944","Overall Star Rating","4"
"659","H1951","Overall Star Rating","4.5"
"665","H1961","Overall Star Rating","4"
"671","H1969","Overall Star Rating","0"
"677","H1977","Overall Star Rating","0"
"683","H1994","Overall Star Rating","3.5"
"689","H1997","Overall Star Rating","0"
"695","H2001","Overall Star Rating","4.5"
"701","H2012","Overall Star Rating","4"
"707","H2029","Overall Star Rating","3.5"
"713","H2034","Overall Star Rating","0"
"719","H2108","Overall Star Rating","3"
"725","H2150","Overall Star Rating","5"
"731","H2161","Overall Star Rating","0"
"737","H2165","Overall Star Rating","3.5"
"743","H2171","Overall Star Rating","0"
"749","H2174","Overall Star Rating","3"
"755","H2224","Overall Star Rating","4"
"761","H2225","Overall Star Rating","4"
"767","H2226","Overall Star Rating","4.5"
"773","H2228","Overall Star Rating","4.5"
"779","H2230","Overall Star Rating","4.5"
"785","H2237","Overall Star Rating","3.5"
"791","H2241","Overall Star Rating","3"
"797","H2256","Overall Star Rating","5"
"803","H2261","Overall Star Rating","4.5"
"809","H2312","Overall Star Rating","4"
"815","H2320","Overall Star Rating","4.5"
"821","H2322","Overall Star Rating","3.5"
"827","H2354","Overall Star Rating","4.5"
"833","H2400","Overall Star Rating","0"
"839","H2406","Overall Star Rating","4"
"845","H2411","Overall Star Rating","0"
"851","H2416","Overall Star Rating","4"
"857","H2417","Overall Star Rating","0"
"863","H2419","Overall Star Rating","4.5"
"869","H2422","Overall Star Rating","4.5"
"875","H2425","Overall Star Rating","4"
"881","H2450","Overall Star Rating","4"
"887","H2456","Overall Star Rating","3.5"
"893","H2458","Overall Star Rating","4"
"899","H2459","Overall Star Rating","4.5"
